"행정구역별","항목","단위","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"철원군","논벼:재배면적[ha]","ha","10178","10063","10006","9983","10080","10802","10808","10764","10788","10634","10659","10214","10297","10190","10259","10200","9519","9558.4651","9428.5531","9338.8226","9412.3857","9361.8823","9450.3661","9478.5367","9260.2651",
"철원군","논벼:10a당 생산량[kg]","kg","501","532","511","484","502","492","483.37969","472.20939","519.3502","562.72498","486.36473","512.57165","514.92032","463.3752","594.4797","572.03241","576.00834","522.44254","573.88592","551.66927","445.32476","578.5822","508.4078","579.3253","559.1671",
"철원군","논벼:생산량[톤]","톤","51005","53551","51095","48346","50610","53195","52244","50828.61925","56027.49925","59840.17489","51841.61605","52354.06859","53021.34513","47217.93259","60987.67281","58347.30579","54830.23373","49937.48754","54109.13914","51519.41419","41915.68435","54166.1835","48046.3977","54911.5573","51780.36",
"화천군","논벼:재배면적[ha]","ha","1486","1474","1449","1379","1371","1369","1162","1201","1153","1133","887","721","734","753","660","671","618","561.7419","501.0958","532.331","488.7698","424.894","400.8285","494.355","537.709",
"화천군","논벼:10a당 생산량[kg]","kg","465","488","452","442","456","414","379.211","409.81417","486.228","478.50757","442.2648","450.33353","448.92754","455.06549","513.64309","545.2433","491.5335","499.49598","534.10128","512.89686","440.20414","507.0018","500.2469","501.1566","499.9458",
"화천군","논벼:생산량[톤]","톤","6907","7189","6543","6098","6255","5670","4406","4921.86821","5606.2089","5421.49073","3922.88875","3246.90473","3295.12814","3426.64313","3390.0444","3658.58253","3037.677","2805.87819","2676.35906","2730.30896","2151.58488","2154.22","2005.132","2477.4927","2688.2537",
"양구군","논벼:재배면적[ha]","ha","2551","2668","2610","2658","2545","2452","2406","2271","1878","1843","1806","1601","1562","1500","1403","1603","1398","1264.2868","1207.3352","1130.9022","1147.5495","1238.2335","1209.4787","1195.6689","1173.8516",
"양구군","논벼:10a당 생산량[kg]","kg","488","455","481","434","441","477","407.4104","412.31006","450.09052","502.72294","421.87856","484.14216","451.26591","372.21136","523.07105","539.14454","516.67668","523.2487","544.95919","513.79669","375.05266","521.967","494.654","495.0418","485.9371",
"양구군","논벼:생산량[톤]","톤","12438","12129","12558","11526","11216","11695","9802","9363.56153","8452.70002","9265.18374","7619.12688","7751.11606","7048.77346","5583.1704","7338.68689","8642.48699","7223.13992","6615.36423","6579.48414","5810.53809","4303.91489","6463.1704","5982.735","5919.0611","5704.18",
"인제군","논벼:재배면적[ha]","ha","1318","1359","1349","1325","1278","1248","1178","1140","1093","1046","938","847","890","690","692","624","745","661.9157","634.1198","610.7271","604.3166","674.7365","648.1084","588.2181","608.2167",
"인제군","논벼:10a당 생산량[kg]","kg","520","504","451","444","472","497","423.24121","391.29152","450.09052","444.85697","414.3535","441.77669","429.78939","447.92046","475.67239","498.0556","505.12884","499.44721","525.03359","505.14981","381.109","525.5556","462.4553","502.5303","501.8375",
"인제군","논벼:생산량[톤]","톤","6857","6850","6087","5879","6030","6205","4986","4460.72334","4919.48941","4653.20386","3886.63583","3741.84857","3825.12554","3090.65115","3291.65293","3107.86692","3763.20985","3305.9195","3329.34194","3085.0868","2303.10498","3546.1154","2997.2117","2955.9745","3052.2596",
"고성군","논벼:재배면적[ha]","ha","3378","3393","3409","3275","3234","3257","3230","3299","3238","3273","3155","2903","2827","2848","2800","2767","2985","2965.6147","2687.567","2582.2494","2686.1865","2786.8453","2813.661","2706.9481","2618.362",
"고성군","논벼:10a당 생산량[kg]","kg","455","483","323","415","460","467","440.40286","440.83799","469.64831","473.64172","433.1976","448.38588","402.53082","504.88271","494.09041","527.11967","536.79336","484.8315","515.5009","518.65137","481.5309","507.3877","505.5114","504.5613","507.7682",
"고성군","논벼:생산량[톤]","톤","15374","16378","11000","13588","14892","15213","14225","14543.24514","15207.21214","15502.29355","13667.38424","13016.64205","11379.54626","14379.05961","13834.53153","14585.40135","16023.28177","14378.2342","13854.43201","13392.87198","12934.81796","14140.1094","14223.3775","13658.2118","13295.2097",
"양양군","논벼:재배면적[ha]","ha","2477","2505","2495","2343","2223","2218","2214","2265","2252","2224","2026","1982","1926","1896","1769","1717","1815","1635.3679","1681.789","1634.7956","1591.3872","1561.8836","1560.5264","1548.7177","1517.4102",
"양양군","논벼:10a당 생산량[kg]","kg","450","483","246","420","436","459","423.6902","431.79949","441.66296","519.90069","464.82325","473.09866","417.13169","484.76558","499.7273","521.11816","531.00004","413.32237","444.25014","504.41472","427.08672","515.7393","478.7407","480.6806","507.4869",
"양양군","논벼:생산량[톤]","톤","11156","12107","6134","9846","9686","10184","9381","9780.25843","9946.2498","11562.59125","9417.31909","9376.81537","8033.95633","9191.15533","8840.17595","8947.59874","9637.65077","6759.34142","7471.35002","8246.14968","6796.60346","8055.2483","7470.8756","7444.3856","7700.6586",
"충청북도","논벼:재배면적[ha]","ha","59938","60013","58778","56592","55045","53417","51650","50702","48802","48257","46758","44480","43245","42892","40653","39785","37111","35069.4706","33611.9593","33247.3988","32745.1383","33402.9959","33193.9241","32339.7279","32469.2215",
"충청북도","논벼:10a당 생산량[kg]","kg","523","531","495","443","500","488","485.30123","459.99855","516.00299","526.16178","477.96518","492.46336","491.92674","513.80322","529.98896","540.68894","543.42304","512.80281","530.26536","523.09599","490.52469","523.4508","516.3949","529.1448","514.3562",
"충청북도","논벼:생산량[톤]","톤","313207","318703","291159","250450","275400","260539","250658","233228.46332","251819.77683","253909.88967","223486.95834","219047.70344","212733.7199","220380.47847","215456.41354","215113.09653","201669.72358","179837.22916","178232.57698","173915.80858","160622.98886","174848.2373","171411.7211","171123.9798","167007.4465",
"청주시","논벼:재배면적[ha]","ha","3007","3016","2919","2746","2723","2646","2693","2657","2639","2646","2404","2328","2074","2288","1945","1583","9408","9019.1623","8891.1089","8713.1799","8516.3274","9294.9427","9342.1942","8999.315","8954.4395",
"청주시","논벼:10a당 생산량[kg]","kg","537","539","514","454","519","507","517.44755","477.07664","515.31814","545.82505","520.10949","507.48178","504.57956","537.61405","559.18728","564.8341","567.88621","526.20263","572.4204","552.72336","522.04844","539.6766","521.7132","517.7899","512.0729",
"청주시","논벼:생산량[톤]","톤","16141","16257","14993","12464","14124","13422","13935","12675.92626","13599.24573","14442.53091","12503.43223","11814.17573","10464.98018","12300.60949","10876.19259","8941.32378","53426.73506","47459.06938","50894.52112","48159.78065","44459.35392","50162.6323","48739.4611","46597.5457","45853.2556",
"충주시","논벼:재배면적[ha]","ha","7912","7965","7826","7615","7249","7278","6447","6337","6164","5841","5671","5468","5246","5156","4848","4747","5132","4839.6626","4537.1124","4582","4547.9007","4548.3999","4324.6857","4032.8182","4080.0037",
"충주시","논벼:10a당 생산량[kg]","kg","517","528","506","452","483","494","516.11531","483.973","512.54972","519.35225","473.43376","470.73837","495.18214","510.88476","514.02132","544.63709","543.40443","501.43558","498.52768","525.79264","503.9687","544.1495","534.9622","573.3807","529.5519",
"충주시","논벼:생산량[톤]","톤","40866","42028","39622","34441","35020","35958","33274","30669.36928","31593.56468","30335.36476","26848.42842","25739.9738","25977.25485","26341.21821","24919.75343","25853.92277","27887.51549","24267.79036","22618.76101","24091.81886","22919.99611","24750.0974","23135.4334","23123.4013","21605.7371",
"제천시","논벼:재배면적[ha]","ha","3213","3198","3166","3020","2904","2873","2911","2902","2761","2733","2595","2616","2546","2498","2202","2102","2107","1886.0205","1779.6743","1760.477","1706.5049","1483.9183","1519.1891","1507.7645","1538.9622",
"제천시","논벼:10a당 생산량[kg]","kg","489","504","482","386","479","483","449.79693","443.50396","494.57329","515.4268","477.7945","495.47154","461.40973","500.85211","530.38647","535.60204","537.42377","496.95203","536.11379","539.88999","473.07315","559.9498","523.4495","544.4899","564.7637",
"제천시","논벼:생산량[톤]","톤","15704","16118","15246","11660","13908","13865","13094","12870.48478","13655.16866","14086.61445","12398.76727","12961.53556","11747.49172","12511.28576","11679.11011","11258.35492","11323.51878","9372.61724","9541.0794","9504.63909","8073.01652","8309.1972","7952.187","8209.6256","8691.4993",
"청원군","논벼:재배면적[ha]","ha","11886","11968","11629","11471","10953","10845","11177","10903","10741","10609","10384","9838","9629","9787","9400","9321","","","","","","","","","",
"청원군","논벼:10a당 생산량[kg]","kg","545","539","509","453","501","496","482.65033","446.84274","530.06294","529.42347","488.97101","509.26954","503.15108","529.51327","553.3107","558.47705","","","","","","","","","",
"청원군","논벼:생산량[톤]","톤","64785","64562","59154","51909","54919","53753","53946","48719.26441","56934.06041","56166.53595","50774.74938","50101.93779","48448.4178","51823.46384","52011.20572","52055.64548","","","","","","","","","",
"보은군","논벼:재배면적[ha]","ha","5671","5663","5577","5497","5546","5465","5306","5423","4949","5147","5118","4705","4734","4550","4197","4027","3901","3661.0707","3479.9512","3458.7139","3440.7007","3615.5535","3674.7076","3670.1434","3680.2179",
"보은군","논벼:10a당 생산량[kg]","kg","507","538","486","453","518","490","502.09174","473.9149","518.19735","533.48933","489.45853","516.63962","522.97138","537.06395","539.21317","544.32168","541.8643","528.05437","535.04006","521.021","506.52022","525.6505","524.5995","521.9203","513.9138",
"보은군","논벼:생산량[톤]","톤","28770","30462","27095","24912","28755","26785","26641","25700.40512","25645.58666","27458.69558","25050.48754","24307.89392","24757.46504","24436.40962","22630.77678","21919.83398","21138.12621","19332.44394","18619.13309","18020.62566","17427.8447","19005.1756","19277.4966","19155.2237","18913.147",
"옥천군","논벼:재배면적[ha]","ha","3602","3604","3538","3314","3174","3014","2651","2622","2635","2638","2542","2369","2338","2191","2017","2041","2045","1905.4042","1884.3514","1807.8331","1730.7385","1703.3413","1744.029","1718.6957","1753.6216",
"옥천군","논벼:10a당 생산량[kg]","kg","503","518","474","440","495","474","489.43067","456.56322","517.45843","555.84894","478.91722","477.94365","481.89807","509.06972","511.95873","522.867","521.83413","502.1381","516.33653","507.05785","483.63095","508.1493","502.61","516.5474","498.5693",
"옥천군","논벼:생산량[톤]","톤","18110","18674","16779","14587","15712","14296","12975","11971.08755","13635.02953","14663.29505","12174.07564","11322.48512","11266.7769","11153.71755","10326.2075","10671.71545","10671.50802","9567.76047","9729.59472","9166.75973","8370.38699","8655.5162","8765.6646","8877.8783","8743.0183",
"영동군","논벼:재배면적[ha]","ha","3023","3110","2995","2613","2580","2402","2386","2334","2225","1952","1671","1468","1380","1412","1338","1317","1252","1185.5288","1097.9772","1055.6092","1038.2805","1081.9427","1047.7381","1086.2871","1082.1397",
"영동군","논벼:10a당 생산량[kg]","kg","509","527","457","410","495","479","476.92818","466.68573","517.45843","529.65899","471.0194","482.90394","472.22678","498.85217","504.14498","515.19728","512.35282","491.16907","484.69323","481.49097","474.50041","506.5994","495.2578","497.1221","483.7522",
"영동군","논벼:생산량[톤]","톤","15389","16384","13679","10725","12759","11497","11380","10892.44487","11513.44999","10338.94347","7870.73419","7089.02982","6516.72963","7043.79265","6745.45983","6785.14815","6414.65726","5822.95073","5321.82119","5082.66295","4926.64525","5481.1149","5189.0042","5400.1733","5234.8747",
"진천군","논벼:재배면적[ha]","ha","6548","6576","6513","6262","6290","6075","5878","5788","5380","5347","5268","5139","5262","5220","4950","4904","4373","4126.0545","3974.6072","3960.728","3862.454","4413.0707","4296.9159","4153.9798","4182.5523",
"진천군","논벼:10a당 생산량[kg]","kg","549","553","499","453","521","466","461.95271","452.10001","521.58878","525.52304","471.40418","498.27701","498.57405","511.36935","530.23306","543.69265","557.84523","525.07493","515.90564","501.31427","443.80163","486.206","509.3822","516.6868","513.7172",
"진천군","논벼:생산량[톤]","톤","35934","36370","32512","28339","32756","28291","27154","26167.54872","28061.47643","28099.71677","24833.57217","25606.45569","26234.96634","26693.48015","26246.53629","26662.68736","24394.57181","21664.87773","20505.22264","19855.69451","17141.63362","21456.6143","21887.7268","21463.0643","21486.4898",
"괴산군","논벼:재배면적[ha]","ha","6742","6623","6425","6174","5952","5668","3992","3767","3538","3840","3707","3618","3441","3266","3475","3464","2970","2749.7578","2519.0023","2606.041","2519.0514","2063.6298","2106.7004","2143.7098","2147.7463",
"괴산군","논벼:10a당 생산량[kg]","kg","515","530","506","449","503","497","486.30012","449.0477","491.83403","505.37204","447.77521","464.68408","460.6941","486.58551","504.17111","509.68597","507.32513","490.04082","508.77822","494.47579","467.0019","502.1068","483.6993","506.5499","501.9002",
"괴산군","논벼:생산량[톤]","톤","34698","35078","32506","27713","29952","28189","19413","16915.62688","17401.08808","19406.28644","16599.02721","16812.26989","15852.48386","15891.8829","17519.94611","17655.52194","15067.55638","13474.9357","12816.13511","12886.2417","11764.01786","10361.6246","10190.0947","10858.9603","10779.5427",
"음성군","논벼:재배면적[ha]","ha","7386","7362","7311","7104","6982","6498","6251","6172","5987","5802","5813","5481","5154","5174","4898","4778","4524","4320.7477","4144.6085","4005.6925","4150.2647","3996.6968","3994.8257","3898.6912","3923.075",
"음성군","논벼:10a당 생산량[kg]","kg","518","518","485","435","491","483","471.61767","460.79645","512.98605","519.05809","464.3105","480.77271","479.31713","492.13679","515.26139","531.97287","531.28632","506.92696","515.30084","510.01153","471.56676","507.7544","510.3063","549.0171","507.7048",
"음성군","논벼:생산량[톤]","톤","38259","38135","35468","30905","34303","31415","29481","28440.35689","30712.47454","30115.75021","26990.36955","26351.15217","24704.0049","25463.15755","25237.50276","25417.66366","24035.39312","21903.03516","21357.20229","20429.49352","19571.26858","20293.4023","20385.8455","21404.4814","19917.6391",
"단양군","논벼:재배면적[ha]","ha","948","928","879","776","692","653","638","549","576","541","410","361","308","261","283","261","320","290.9162","274.5531","284.7738","260.6505","248.3373","237.3837","232.3129","220.903",
"단양군","논벼:10a당 생산량[kg]","kg","480","499","467","360","461","470","434.98354","457.73784","494.57329","515.4268","477.7945","495.47154","461.40973","500.85211","530.38647","535.60204","524.39893","496.95203","536.11379","539.88999","473.07315","559.9498","523.4495","544.4899","564.7637",
"단양군","논벼:생산량[톤]","톤","4551","4635","4105","2795","3192","3068","2775","2512.98074","2848.74218","2788.45899","1958.95745","1788.65227","1421.14197","1307.22401","1500.99372","1397.92133","1678.07658","1445.71397","1471.91704","1537.46524","1233.06754","1390.5642","1242.5837","1264.9203","1247.5799",
"증평군","논벼:재배면적[ha]","ha","","","","","","","1320","1248","1207","1161","1175","1089","1133","1089","1100","1240","1079","1085.1453","1029.0128","1012.3504","972.265","953.1629","905.5547","896.0103","905.5603",
"증평군","논벼:10a당 생산량[kg]","kg","","","","","","","499.383","456.16729","515.31814","517.45884","466.75381","473.10759","471.49221","497.17509","523.88443","523.65788","521.97079","509.24374","520.61445","511.74244","487.08508","522.7122","513.0804","532.2155","500.7577",
"증평군","논벼:생산량[톤]","톤","","","","","","","6592","5692.96781","6219.88995","6007.6971","5484.35728","5152.14168","5342.00671","5414.23674","5762.72871","6493.35772","5632.06487","5526.03447","5357.18937","5180.62667","4735.75778","4982.2985","4646.2235","4768.7055","4534.6631",
"충청남도","논벼:재배면적[ha]","ha","174774","175073","172531","169428","167878","166166","163117","162408","162244","160952","156456","152861","153056","151767","148665","146303","137343","134031.4313","133955.1738","132171.3938","131279.4732","135398.4098","133977.5054","131642.7989","129786.3962",
"충청남도","논벼:10a당 생산량[kg]","kg","552","553","513","479","538","522","528.98475","501.48655","551.70759","568.11252","505.31285","526.57082","511.85591","542.53314","562.08805","565.84739","563.61384","537.59561","546.59049","536.58257","516.09303","570.9166","541.3392","552.2437","544.188",
"충청남도","논벼:생산량[톤]","톤","934452","953307","872764","806627","898102","864223","862864","814454.28113","895112.4589","914388.45825","790592.26623","804921.41565","783426.18557","823386.26522","835628.1963","827851.71032","774084.15446","720547.08563","732186.2412","709208.65659","677524.20816","773012.006","725272.7547","726989.1282","706282.0246",
"천안시","논벼:재배면적[ha]","ha","9384","9446","9130","9002","8773","8790","8022","8013","7932","7856","7179","6816","6867","6699","6683","6293","5649","5279.2447","5399.0693","5357.9017","5277.8306","5900.8891","5871.8168","5658.0505","5649.7953",
"천안시","논벼:10a당 생산량[kg]","kg","537","538","501","450","498","491","501.92959","479.5515","523.08798","540.70159","501.38225","508.95995","508.56067","522.50435","517.58897","541.69704","536.37637","523.81185","515.46919","507.98732","481.00501","520.1928","504.1735","515.9265","517.8736",
"천안시","논벼:생산량[톤]","톤","50431","50830","45712","40508","43718","43186","40265","38426.46162","41491.33845","42477.51653","35994.23196","34690.71019","34922.86102","35002.56613","34590.47112","34088.99473","30299.9009","27653.3095","27830.53881","27217.46124","25386.62986","30695.9979","29604.1427","29191.3792","29258.7983",
"공주시","논벼:재배면적[ha]","ha","10677","10763","10488","10095","9795","9679","9302","9198","9094","9369","8897","8440","8405","8353","8392","8178","6080","5803.5514","5807.8274","5873.6334","5566.505","6204.2055","6219.1814","6218.8236","6229.0077",
"공주시","논벼:10a당 생산량[kg]","kg","547","542","515","466","530","517","508.69887","501.0075","553.47563","546.2818","503.78575","520.12077","512.23739","522.95693","555.54274","550.39173","547.59948","532.80843","549.44245","542.77151","527.91925","553.9218","527.0317","525.1403","535.9715",
"공주시","논벼:생산량[톤]","톤","58357","58341","54002","47063","51943","50016","47319","46082.67026","50333.07422","51181.14171","44821.8178","43898.19288","43053.55279","43682.59251","46621.14705","45011.03561","33294.04808","30921.81087","31910.66899","31880.40883","29386.65131","34366.4487","32777.0586","32657.5485","33385.7074",
"보령시","논벼:재배면적[ha]","ha","9934","9934","9805","9648","9641","9741","9724","9726","9735","9627","9609","9335","9300","9196","9025","9243","8993","8913.8434","8607.7526","8478.2303","8463.3999","8789.8162","8703.1343","8344.5498","8295.9192",
"보령시","논벼:10a당 생산량[kg]","kg","542","554","522","500","554","549","524.18488","487.29081","532.92201","554.42667","501.56996","512.67603","502.29582","522.92069","541.66347","547.28211","542.60073","516.51125","530.40898","536.32674","523.94926","555.6957","502.348","543.1796","532.9536",
"보령시","논벼:생산량[톤]","톤","53835","54923","51195","48276","53431","53512","50972","47393.90376","51879.9578","53374.65506","48195.85709","47858.30767","46713.51091","48087.78651","48885.12817","50585.28523","48796.08333","46041.00388","45656.29274","45471.01586","44343.92116","48844.6342","43720.0248","45325.8919","44213.4032",
"아산시","논벼:재배면적[ha]","ha","13153","13169","12980","12737","12626","12346","11691","11666","11254","11201","11072","11093","10842","10813","10681","10146","9207","9242.7145","8900.6396","8951.3502","8846.9973","9880.648","9681.8127","9400.2555","9222.2075",
"아산시","논벼:10a당 생산량[kg]","kg","564","553","517","455","527","522","530.96028","507.84745","545.55526","578.32549","544.25604","549.53153","549.0082","560.68239","587.52673","571.47439","567.44077","546.13081","540.08688","535.31842","507.98415","549.1802","532.7891","542.0638","546.1148",
"아산시","논벼:생산량[톤]","톤","74179","72820","67096","57987","66545","64486","62075","59245.48308","61396.78857","64778.23845","60260.02899","60959.53228","59523.46868","60626.5864","62753.72964","57981.79172","52244.27193","50477.3111","48071.18627","47918.22688","44941.34386","54262.5674","51583.6401","50955.3868","50363.8446",
"서산시","논벼:재배면적[ha]","ha","21230","21312","21023","21011","20954","20936","21203","20995","20834","21012","20899","20544","20397","20350","20268","20136","19145","18619.9198","18587.7529","17910.4726","18351.7862","18656.7979","17863.038","17807.4376","16956.6825",
"서산시","논벼:10a당 생산량[kg]","kg","559","560","497","474","523","512","523.41048","507.91607","554.94079","562.95086","462.87191","522.32622","486.57541","539.41306","565.61875","547.29301","547.24496","526.5692","556.88383","536.5309","518.54864","588.8145","545.7296","555.5774","541.967",
"서산시","논벼:생산량[톤]","톤","97812","111045","98109","97584","107576","105461","110979","106636.97804","115616.36316","118287.23574","96735.60038","107306.69905","99246.78628","109770.55689","114639.60779","110202.91976","104770.04669","98046.76332","103512.18933","96095.22016","95162.93863","109853.9392","97483.8846","98934.1008","91899.626",
"논산시","논벼:재배면적[ha]","ha","14443","14304","14127","13772","13751","13403","13021","12996","13417","13293","12973","12677","12371","12158","12216","11580","11356","11029.3589","11055.8815","10671.2393","10337.4329","10428.751","10661.5679","10347.1092","10453.5858",
"논산시","논벼:10a당 생산량[kg]","kg","553","556","515","480","541","507","499.13955","477.79785","535.08355","558.41365","483.84007","506.34052","502.04157","511.69422","510.0674","547.03942","549.76781","532.44771","552.61745","545.87074","511.37646","566.213","533.0441","548.0559","541.0469",
"논산시","논벼:생산량[톤]","톤","79928","79489","72774","66156","74362","67905","64993","62094.60871","71792.16047","74229.9267","62768.57286","64188.78728","62107.56262","62211.78371","62309.83364","63347.16516","62431.63246","58725.5691","61096.73079","58251.17252","52863.19821","59048.9388","56830.864","56707.9434","56558.8006",
"계룡시","논벼:재배면적[ha]","ha","","","","","","","273","270","299","272","277","273","264","256","266","258","240","223.3358","211.5845","225.6084","226.9557","138.5235","126.1064","130.1118","114.7005",
"계룡시","논벼:10a당 생산량[kg]","kg","","","","","","","514.83383","456.69899","535.08355","558.41365","483.84007","506.34052","502.04157","511.69422","510.0674","547.03942","549.76781","532.44771","552.61745","545.87074","511.37646","566.213","533.0441","548.0559","541.0469",
"계룡시","논벼:생산량[톤]","톤","","","","","","","1405","1233.08727","1599.89983","1518.88513","1340.23701","1382.30961","1325.38974","1309.93721","1356.77929","1411.36171","1319.44274","1189.14636","1169.25288","1231.53023","1160.59802","784.338","672.2028","713.0854","620.5835",
"당진시","논벼:재배면적[ha]","ha","21760","22255","22173","21808","22178","22209","21428","21363","21830","21294","20883","20537","20635","20246","20380","20048","18975","19205.6062","19139.6022","19096.3645","19119.6205","20197.2014","19749.3467","20055.164","19775.0893",
"당진시","논벼:10a당 생산량[kg]","kg","583","566","525","494","577","545","551.21574","522.88684","583.01564","603.17294","531.05844","555.44068","529.84614","578.52754","609.88376","601.77161","597.96609","566.02394","567.78936","537.71941","527.33152","595.3935","566.3577","588.1781","569.1709",
"당진시","논벼:생산량[톤]","톤","126927","125405","116123","107724","127931","121040","118115","111704.31613","127272.31383","128439.64623","110900.93418","114070.85213","109333.75192","117128.68513","124294.31018","120643.17272","113464.06566","108708.32957","108672.62429","102684.85818","100823.78477","120252.8171","111851.9379","117960.0787","112554.0609",
"연기군","논벼:재배면적[ha]","ha","5205","5191","5137","4942","4774","4645","4686","4477","4280","4235","3703","3439","3379","2965","2313","2253","","","","","","","","","",
"연기군","논벼:10a당 생산량[kg]","kg","540","551","508","463","533","515","523.42498","502.0326","553.47563","555.12216","517.53547","524.33754","524.35531","534.93017","548.5469","561.41734","","","","","","","","","",
"연기군","논벼:생산량[톤]","톤","28112","28590","26109","22897","25443","23910","24528","22475.99943","23688.75717","23509.42337","19164.33837","18031.96785","17717.96576","15860.67965","12687.88987","12648.73273","","","","","","","","","",
"부여군","논벼:재배면적[ha]","ha","13681","13661","13317","13147","12679","12472","12312","12415","11936","11774","10471","9901","10673","10768","10375","10893","10842","10297.2428","10482.1028","10440.8705","10348.3758","10374.1538","10581.9847","10069.2784","9867.6192",
"부여군","논벼:10a당 생산량[kg]","kg","530","535","508","468","513","513","536.72752","479.80236","526.48183","541.85269","510.33806","513.05399","509.31028","517.98424","539.37594","559.50823","554.85717","517.86449","528.4509","541.27751","518.46172","566.6791","555.8794","514.7003","535.0438",
"부여군","논벼:생산량[톤]","톤","72551","73024","67671","61468","65100","63950","66082","59567.46298","62840.87098","63797.73599","53437.49807","50797.47564","54358.68628","55776.5432","55960.25382","60947.23153","60157.61483","53325.76415","55392.76687","56514.08372","53652.36701","58788.1583","58823.0717","51826.6073","52796.0869",
"서천군","논벼:재배면적[ha]","ha","11068","11030","10979","10852","10776","10683","10717","10625","10761","10676","10669","10515","10513","10509","10303","10188","10377","10192.0381","10055.4626","10081.5004","9947.711","9884.9947","9867.3642","9713.495","9709.3868",
"서천군","논벼:10a당 생산량[kg]","kg","565","579","543","531","583","575","575.0568","535.25972","598.0187","627.78224","557.67888","564.90505","557.54067","575.09024","585.52474","591.08711","590.13767","570.21215","580.50755","587.45337","568.02583","574.0102","553.29","564.8027","550.8714",
"서천군","논벼:생산량[톤]","톤","61997","63811","59575","57593","62777","61392","61629","56871.34544","64352.79283","67022.03206","59498.7597","59399.76567","58614.2509","60436.23316","60326.61383","60219.95446","61238.58587","58116.23944","58372.7191","59224.1137","56505.56789","56740.8807","54595.1425","54862.0865","53486.2304",
"청양군","논벼:재배면적[ha]","ha","7049","7058","6803","6614","6602","6575","6596","6640","6665","6540","6018","5938","6164","6221","6115","6247","5570","5447.5075","5440.1906","5420.0017","5363.9771","5037.6046","5107.9222","4890.8368","4868.9303",
"청양군","논벼:10a당 생산량[kg]","kg","506","540","496","460","506","485","506.32068","468.31967","532.92201","534.78339","511.33916","511.90795","511.60137","515.28701","526.69481","545.21129","541.92254","514.62431","513.99707","500.31678","466.71961","538.9776","531.3689","554.3945","544.0775",
"청양군","논벼:생산량[톤]","톤","35661","38082","33716","30437","33382","31919","33397","31096.42641","35519.25206","34974.83395","30772.39083","30397.09388","31535.10816","32056.00513","32207.38738","34059.34911","30185.08555","28034.198","27962.42018","27117.17773","25034.73286","27151.5626","27141.91","27114.5285","26490.7525",
"홍성군","논벼:재배면적[ha]","ha","10597","10562","10431","10187","10051","9976","10205","10122","10200","9868","9955","9909","9746","9577","9453","9168","9185","9151.0008","8984.5406","8953.9539","8829.0258","8930.0206","8902.5528","8738.6151","8739.2468",
"홍성군","논벼:10a당 생산량[kg]","kg","555","566","533","498","540","512","531.30314","492.11884","535.28256","546.91969","512.07143","514.65944","496.72107","520.60941","544.02842","556.46468","553.77011","534.68608","534.35401","526.66358","494.8778","564.7015","541.7975","558.4352","545.8322",
"홍성군","논벼:생산량[톤]","톤","55565","57809","54479","50211","54366","50943","54219","49812.26879","54598.82111","53970.03521","50976.71078","50997.60375","48410.43499","49858.76296","51427.00646","51016.68181","50863.78503","48929.12747","48009.25339","47157.21413","43692.88856","50427.963","48233.8081","48799.5007","47701.6257",
"예산군","논벼:재배면적[ha]","ha","12494","12477","12360","12182","12100","11890","11536","11513","11735","11867","11962","11928","11804","11552","11065","10958","11281","11401.4843","11406.704","11156.8666","11225.9483","10428.9265","10318.4506","10031.3441","9903.0274",
"예산군","논벼:10a당 생산량[kg]","kg","569","567","534","509","563","538","555.67634","523.88039","557.2951","570.81076","532.04043","543.31792","539.95545","570.49342","588.16208","609.37045","598.27636","560.76626","554.36633","543.35819","525.36195","592.9364","554.5982","559.8808","548.4782",
"예산군","논벼:생산량[톤]","톤","71090","70764","66029","62040","68072","63921","64103","60314.34918","65398.58044","67738.11337","63642.67593","64806.962","63736.34161","65903.39962","65080.13376","66774.81346","67491.55666","63935.67696","63234.92594","60621.7484","58976.86122","61836.8965","57225.9374","56163.5707","54315.9486",
"태안군","논벼:재배면적[ha]","ha","10502","10385","10301","10159","10209","10119","10189","10278","10270","10081","9851","9899","9865","10475","9528","9106","8885","7891.1878","8649.0202","8343.2068","8091.8494","8985.8042","8638.7179","8641.6128","8351.4166",
"태안군","논벼:10a당 생산량[kg]","kg","531","505","467","432","491","488","506.59909","497.62664","551.30589","575.27388","428.60574","484.36842","442.31255","547.38566","570.07373","550.37148","552.22252","499.08381","515.39889","498.78793","483.94769","575.9869","533.9687","549.3987","527.7685",
"태안군","논벼:생산량[톤]","톤","49166","49011","44898","43175","48914","49482","51617","51146.06567","56619.11523","57993.35949","42221.95156","47947.62964","43634.13275","57338.64812","54316.62456","50116.82665","49064.97082","39383.64065","44576.95371","41614.90872","39160.3181","51757.0532","46128.0471","47476.9108","44076.1426",
"금산군","논벼:재배면적[ha]","ha","3597","3526","3477","3272","2969","2702","2212","2111","2002","1987","2038","1617","1831","1629","1602","1608","1558","1333.3953","1227.043","1210.1935","1282.0577","1560.0728","1684.5088","1596.1147","1649.7813",
