"행정구역별","항목","단위","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"의왕시","논벼:생산량[톤]","톤","609","771","649","571","778","748","665","602.92305","565.7085","538.60126","330.67478","427.52801","392.23239","424.54472","218.52828","233.60823","308.05491","287.13537","128.96227","80.70298","81.65586","41.3038","38.6048","29.1178","89.1084",
"하남시","논벼:재배면적[ha]","ha","233","203","173","171","124","109","43","33","50","50","13","17","9","8","12","9","3","","","","","22.0775","20.6521","15.7016","12.9774",
"하남시","논벼:10a당 생산량[kg]","kg","468","500","527","375","540","492","503.998","432.72177","518.99862","494.12959","423.94203","431.84647","456.08417","461.46165","485.6184","507.84397","506.96308","","","","","493.9055","485.6311","478.8404","469.6987",
"하남시","논벼:생산량[톤]","톤","1090","1015","911","642","670","536","217","142.79818","259.49931","247.0648","55.11246","73.4139","41.04758","36.91693","58.27421","45.70596","15.20889","","","","","109.042","100.293","75.1856","60.9547",
"용인시","논벼:재배면적[ha]","ha","5935","5795","5657","5253","5036","4948","4835","4691","4581","4635","4370","4379","4180","4048","3939","3695","3176","3417.1009","3531.1989","3446.8518","3380.0646","3425.0975","3368.4507","3410.5585","3280.9652",
"용인시","논벼:10a당 생산량[kg]","kg","485","497","482","433","459","496","473.31404","451.98358","520.26029","489.43287","422.81242","461.31724","476.2681","489.52957","505.16091","526.37587","510.59632","482.95409","493.96553","496.60599","465.97711","515.5132","508.1141","506.7542","491.9088",
"용인시","논벼:생산량[톤]","톤","28776","28793","27248","22721","23129","24566","22885","21202.54953","23833.12408","22685.21371","18476.90296","20201.08181","19908.00676","19816.15704","19898.28843","19449.58844","16216.53926","16503.02866","17442.90544","17117.27233","15750.32734","17656.8301","17115.5744","17283.1498","16139.3558",
"파주시","논벼:재배면적[ha]","ha","9830","9921","9661","9490","8890","8521","8024","7795","7706","7436","7445","7128","7045","6858","6693","6582","6261","6112.0155","6078.3258","6161.1299","5957.2696","6660.6141","6520.5287","6749.2176","6611.5481",
"파주시","논벼:10a당 생산량[kg]","kg","473","494","483","469","491","485","463.70639","464.30072","505.45792","515.79331","447.20199","434.16057","479.12006","482.96548","513.79756","546.48968","486.52113","480.06858","473.84479","467.25968","461.36144","524.8913","504.1527","499.9203","501.4861",
"파주시","논벼:생산량[톤]","톤","46486","49052","46615","44475","43656","41334","37208","36192.24103","38950.58716","38354.39024","33294.18819","30946.96568","33754.00851","33121.77253","34388.47043","35969.95053","30461.08765","29341.86619","28801.83029","28788.47564","27484.54465","34960.9817","32873.4215","33740.7084","33155.9968",
"이천시","논벼:재배면적[ha]","ha","10404","10394","10391","10161","10056","9880","9843","9543","9520","9558","9382","8768","8716","8234","8003","7788","8060","8355.9458","8317.5081","8182.0714","8187.6811","7516.2929","7439.2866","7150.8457","7268.1415",
"이천시","논벼:10a당 생산량[kg]","kg","492","517","482","436","488","479","502.48502","498.56981","513.86262","540.8356","437.97048","475.08568","493.92979","491.416","522.79555","527.69379","538.77559","511.19908","516.99018","515.55506","471.01663","541.1567","536.0786","536.7402","517.5815",
"이천시","논벼:생산량[톤]","톤","51150","53712","50054","44331","49050","47308","49460","47578.51686","48919.72146","51693.06665","41090.39068","41655.5127","43050.92014","40463.19351","41839.32754","41096.79206","43425.31257","42715.51816","43000.69975","42183.08295","38565.33921","40674.926","39880.4244","38381.4665","37618.5544",
"안성시","논벼:재배면적[ha]","ha","10200","10250","10089","9970","9813","9449","9133","8970","9056","9067","9015","8424","8455","7874","7551","7276","7535","7409.6773","7591.0791","7506.1183","7410.2288","7436.9898","7066.2416","7039.964","7035.6646",
"안성시","논벼:10a당 생산량[kg]","kg","485","495","487","456","492","471","482.37569","462.1188","493.63234","512.72031","432.68397","420.8468","463.36197","457.17188","464.44232","471.99542","479.17784","482.36361","499.45209","489.61456","466.63167","500.1016","471.5696","496.4206","485.476",
"안성시","논벼:생산량[톤]","톤","49507","50690","49179","45475","48321","44497","44055","41452.05608","44703.34495","46488.35059","39006.4599","35452.13419","39177.25458","35997.71383","35070.03959","34342.38662","36106.04992","35741.58717","37913.80346","36751.0483","34578.47409","37192.5073","33322.2454","34947.8305","34156.4648",
"김포시","논벼:재배면적[ha]","ha","8004","7993","7839","7637","7417","7396","7002","6703","6225","6009","5681","5297","5488","5291","5432","5060","4734","4443.8403","4513.9632","4326.3792","4196.672","4333.9488","4204.4794","4254.4647","4218.7066",
"김포시","논벼:10a당 생산량[kg]","kg","472","486","533","470","504","504","482.24575","468.32311","526.80102","480.87848","428.95105","414.184","485.93758","466.23059","492.36026","510.40331","510.75232","507.86933","516.28385","468.82629","454.92776","521.6727","499.624","497.6147","496.7549",
"김포시","논벼:생산량[톤]","톤","37817","38844","41786","35929","37379","37276","33767","31391.69785","32793.36334","28895.98789","24368.70895","21939.3264","26668.25465","24668.26062","26745.00947","25826.40763","24179.01499","22568.90196","23304.86304","20283.20317","19091.82577","22609.0288","21006.5888","21170.8429","20956.6309",
"화성시","논벼:재배면적[ha]","ha","16930","16596","16075","15258","14833","14562","14404","14113","14068","14537","14173","13922","14035","14352","13565","12996","13541.4","12452.4099","12615.6634","12439.7012","12156.4883","11897.0181","11979.2475","12118.87","12209.1044",
"화성시","논벼:10a당 생산량[kg]","kg","458","491","461","469","497","488","486.3545","472.08361","545.73069","490.93324","441.65072","449.83327","446.8159","469.11219","488.78705","524.88815","530.94287","455.61508","506.05937","486.07237","452.30013","496.9238","486.1018","501.2181","503.183",
"화성시","논벼:생산량[톤]","톤","77582","81411","74145","71591","73761","70847","70055","66625.15968","76773.39324","71366.96533","62595.15674","62625.78719","62710.61224","67326.98201","66303.96306","68214.46406","71897.09771","56735.05779","63842.74669","60465.95089","54983.81201","59119.1092","58231.3437","60741.9684","61434.1394",
"광주시","논벼:재배면적[ha]","ha","1894","1840","1779","1685","1556","1491","1329","1358","1262","1224","1184","967","765","681","597","503","688","595.6189","553.4044","528.4287","447.8203","603.1694","592.6533","560.6134","550.3418",
"광주시","논벼:10a당 생산량[kg]","kg","452","501","426","416","404","444","451.14856","424.24988","518.99862","494.12959","423.94203","431.84647","456.08417","461.46165","485.6184","507.84397","506.96308","491.64542","470.99681","466.86491","442.71891","503.1581","499.0354","506.0491","501.003",
"광주시","논벼:생산량[톤]","톤","8563","9213","7576","7017","6288","6623","5996","5761.31333","6549.76263","6048.14623","5019.4736","4175.95539","3489.04393","3142.55386","2899.14187","2554.45516","3487.90598","2928.33303","2606.51705","2467.04815","1982.58514","3034.8959","2957.55","2836.9789","2757.2291",
